OBJECTID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),GlobalID,CreationDate,Creator,EditDate,Editor,Linie,Typ,Anmerkung,x,y
4,,,81.17,2,AppStudio-CoreLocation,35,16.1079044342041,51.9578333509188,7.63460355560276,63.1238059997559,,,,,,,,10/4/2021 1:13:48 PM,,,,,d55c78e2-e3bb-4f0e-8da7-902bfaece0e8,10/4/2021 1:14:34 PM,s.schuette_ct,10/4/2021 1:14:34 PM,s.schuette_ct,,5,S50,7.63460355560276,51.9578333509188
5,,,81.23,2,AppStudio-CoreLocation,35,16.1079044342041,51.9578333513182,7.63460355553658,63.1238059997559,,,,,,,,10/4/2021 1:13:18 PM,,,,,c99ff66d-3e7d-490e-a274-ac34e23e72b5,10/4/2021 1:14:34 PM,s.schuette_ct,10/4/2021 1:14:34 PM,s.schuette_ct,,1,S50,7.63460355553658,51.9578333513182
6,5.40180769706776,351.980603456278,350.49,2,AppStudio-CoreLocation,4.76524753067994,3.33420950213653,51.9594354939894,7.63498318307029,61.7556669712067,,,,,,,,10/4/2021 1:36:08 PM,,,,,c411ca26-6bf1-46ae-b9b8-85b9cdc26c6c,10/4/2021 1:36:22 PM,s.schuette_ct,10/4/2021 1:36:22 PM,s.schuette_ct,,7,S50,7.63498318307029,51.9594354939894
7,3.46942737940521,4.93160591920267,0.83,2,AppStudio-CoreLocation,4.7689876649738,3.32885771460971,51.9593010611004,7.63488345691279,62.0177221549675,,,,,,,,10/4/2021 1:35:52 PM,,,,,7e40cc89-2815-4fa1-976a-89295599a6fa,10/4/2021 1:36:22 PM,s.schuette_ct,10/4/2021 1:36:22 PM,s.schuette_ct,,6,S50,7.63488345691279,51.9593010611003
8,4.92763952097204,23.7880081344643,21.87,2,AppStudio-CoreLocation,4.75518998322173,3.34853777883072,51.9596195644685,7.63507986259898,61.1540689850226,,,,,,,,10/4/2021 1:36:24 PM,,,,,a05183fd-5fdb-46e7-8657-87b780aba381,10/4/2021 1:36:54 PM,s.schuette_ct,10/4/2021 1:36:54 PM,s.schuette_ct,,6,S50,7.63507986259898,51.9596195644685
9,0,27.8455559281956,251.56,2,AppStudio-CoreLocation,4.74753064029142,3.35938831519713,51.9604121779323,7.63513285836892,59.6552722165361,,,,,,,,10/4/2021 1:41:40 PM,,,,,ffc1f561-73b4-4886-98cc-12f0aa6303cf,10/4/2021 1:41:57 PM,s.schuette_ct,10/4/2021 1:41:57 PM,s.schuette_ct,,7,S50,7.63513285836892,51.9604121779323
10,5.04895438141958,2.41077967258574,359.03,2,AppStudio-CoreLocation,4.7375638473622,3.37342938638939,51.9603197477567,7.63512701889028,57.5553614478558,,,,,,,,10/4/2021 1:41:28 PM,,,,,691ce602-d832-431d-8513-861a8b2951cc,10/4/2021 1:41:57 PM,s.schuette_ct,10/4/2021 1:41:57 PM,s.schuette_ct,,6,S50,7.63512701889028,51.9603197477567
11,0,42.7441912619876,340.37,2,AppStudio-CoreLocation,4.75809430294355,3.34440960964487,51.9609236990162,7.63504154136641,60.3617736222222,,,,,,,,10/4/2021 1:43:59 PM,,,,,3a3f0901-072f-48d3-9776-7a714eda6244,10/4/2021 1:44:45 PM,s.schuette_ct,10/4/2021 1:44:45 PM,s.schuette_ct,,3,S50,7.63504154136641,51.9609236990162
12,4.14753072524168,282.327821629183,273.91,2,AppStudio-CoreLocation,4.7556102869602,3.34794083450517,51.9619218461477,7.63499039040519,58.9896788699552,,,,,,,,10/4/2021 1:49:05 PM,,,,,5c4ff717-26cf-4d1b-9736-89992dca7e09,10/4/2021 1:49:49 PM,s.schuette_ct,10/4/2021 1:49:49 PM,s.schuette_ct,,6,S50,7.63499039040519,51.9619218461477
13,3.05625103878102,359.535124180486,236.83,2,AppStudio-CoreLocation,4.75201097021688,3.35304768408194,51.9629361599119,7.63168912564961,56.7843516301364,,,,,,,,10/4/2021 1:52:25 PM,,,,,0ead9876-387a-4a24-acc6-da2eb1780e03,10/4/2021 1:53:13 PM,s.schuette_ct,10/4/2021 1:53:13 PM,s.schuette_ct,,6,S50,7.63168912564961,51.9629361599119
14,2.89107397614516,339.006364848897,322.44,2,AppStudio-CoreLocation,4.74344902014336,3.36514909418436,51.9628439705269,7.63183341185708,57.4892335310578,,,,,,,,10/4/2021 1:52:12 PM,,,,,a45551cf-0649-46ea-8c84-6413240d8c2f,10/4/2021 1:53:13 PM,s.schuette_ct,10/4/2021 1:53:13 PM,s.schuette_ct,,7,S50,7.63183341185708,51.9628439705269
15,3.30040411538301,315.918349369031,303.25,2,AppStudio-CoreLocation,4.74256060687073,3.36640103418276,51.9627729847799,7.63202032220651,59.1609750501812,,,,,,,,10/4/2021 1:51:59 PM,,,,,a873d9dc-002a-4f33-899a-7f212d25b828,10/4/2021 1:53:13 PM,s.schuette_ct,10/4/2021 1:53:13 PM,s.schuette_ct,,6,S50,7.63202032220651,51.9627729847799
16,1.90181167283388,260.549185200211,289.43,2,AppStudio-CoreLocation,4.81763657166447,3.25805385102055,51.9638090657427,7.6307622181776,55.4257766427472,,,,,,,,10/4/2021 1:53:54 PM,,,,,dd0ef8c5-53e5-4529-8db7-2a563ccd9480,10/4/2021 1:54:20 PM,s.schuette_ct,10/4/2021 1:54:20 PM,s.schuette_ct,,3,S50,7.6307622181776,51.9638090657427
17,0,,324.43,2,AppStudio-CoreLocation,4.7946463376673,3.29179336068995,51.9638385696386,7.63077735899306,58.2880145926028,,,,,,,,10/4/2021 2:05:09 PM,,,,,c8fca49d-5036-406a-addf-28f450db9314,10/4/2021 2:05:48 PM,s.schuette_ct,10/4/2021 2:05:48 PM,s.schuette_ct,,3,S50,7.63077735899306,51.9638385696386
18,24.833958376213,140.373657766031,120.25,2,AppStudio-CoreLocation,4.74781451376845,3.35898710560766,51.9627521671052,7.63198833945147,58.6626437762752,,,,,,,,10/4/2021 2:06:46 PM,,,,,66cf3b5f-f7a5-4607-895f-6b6d76d52c85,10/4/2021 2:06:56 PM,s.schuette_ct,10/4/2021 2:06:56 PM,s.schuette_ct,,5,S50,7.63198833945147,51.9627521671052
19,11.845564466824,154.02579573188,133.99,2,AppStudio-CoreLocation,4.75202351178867,3.35302990982731,51.9629307788229,7.63176591514329,58.5722805652767,,,,,,,,10/4/2021 2:06:42 PM,,,,,b146b76d-f05d-4fa4-974f-aff5c1a51156,10/4/2021 2:06:56 PM,s.schuette_ct,10/4/2021 2:06:56 PM,s.schuette_ct,,7,S50,7.63176591514329,51.9629307788229
20,7.00214609264638,152.337692260742,134.37,2,AppStudio-CoreLocation,4.76322140027116,3.33710337340449,51.9630275340148,7.63168996904281,57.5146528482437,,,,,,,,10/4/2021 2:06:36 PM,,,,,122c301a-7522-42d6-a4c8-d2e211508890,10/4/2021 2:06:56 PM,s.schuette_ct,10/4/2021 2:06:56 PM,s.schuette_ct,,6,S50,7.63168996904281,51.9630275340148
21,19.5735203422748,136.572739575275,123.45,2,AppStudio-CoreLocation,4.87151793925046,3.17692461357676,51.9636888136316,7.63128716729871,57.6125019975007,,,,,,,,10/4/2021 2:06:20 PM,,,,,21ccd639-c17f-4909-acd5-c9daa92a58eb,10/4/2021 2:06:56 PM,s.schuette_ct,10/4/2021 2:06:56 PM,s.schuette_ct,,2,S50,7.63128716729871,51.9636888136316
22,27.4790917307161,119.659027747034,108.15,2,AppStudio-CoreLocation,4.90380448899552,3.12685761851995,51.9621903237709,7.63329394581572,58.7074339203537,,,,,,,,10/4/2021 2:06:59 PM,,,,,2df42a03-315b-44ae-b88e-19bf7ea9fffc,10/4/2021 2:07:30 PM,s.schuette_ct,10/4/2021 2:07:30 PM,s.schuette_ct,,2,S50,7.63329394581572,51.9621903237709
23,30.4875385439988,127.717845296541,106.07,2,AppStudio-CoreLocation,4.74527432994316,3.36257469305461,51.9625731004256,7.63239878216411,58.7188293971121,,,,,,,,10/4/2021 2:06:50 PM,,,,,6ed50148-c7c6-4f70-b948-19a7795953d2,10/4/2021 2:07:30 PM,s.schuette_ct,10/4/2021 2:07:30 PM,s.schuette_ct,,1,S50,7.63239878216411,51.9625731004256
24,16.0159098701589,94.4279606569163,91.73,2,AppStudio-CoreLocation,4.74263848971022,3.36629131073174,51.961948853457,7.63506156172032,60.1626843037084,,,,,,,,10/4/2021 2:07:52 PM,,,,,6cad196b-9ebd-4b98-9a5f-86a78c6562c8,10/4/2021 2:08:04 PM,s.schuette_ct,10/4/2021 2:08:04 PM,s.schuette_ct,,7,S50,7.63506156172032,51.961948853457
25,15.2594034657227,94.2466225794018,88.18,2,AppStudio-CoreLocation,4.74185202218698,3.36739906047236,51.9619539902003,7.63499267678313,59.9157963907346,,,,,,,,10/4/2021 2:07:51 PM,,,,,2e4d3abf-5ce3-41b5-a0d6-42975d851530,10/4/2021 2:08:04 PM,s.schuette_ct,10/4/2021 2:08:04 PM,s.schuette_ct,,6,S50,7.63499267678313,51.9619539902003
26,13.3069942967363,189.953619389174,181.35,2,AppStudio-CoreLocation,4.7520385526047,3.35300859339004,51.9604877099049,7.6350965121649,60.6786742703989,,,,,,,,10/4/2021 2:08:43 PM,,,,,4e6e5581-5f4a-49a3-8d9e-ac81a58baf6c,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,7,S50,7.6350965121649,51.9604877099049
27,9.6317875370152,189.889646087697,183.05,2,AppStudio-CoreLocation,4.74854089137274,3.35796015994083,51.9605209543583,7.63511086093262,60.4751688241959,,,,,,,,10/4/2021 2:08:42 PM,,,,,c0ca94c9-78b5-470d-ba8c-799da7b01f81,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,6,S50,7.63511086093262,51.9605209543583
28,14.3497861707702,188.496738039687,183.57,2,AppStudio-CoreLocation,4.74660383362272,3.36069770723684,51.9607597914643,7.63516934419227,60.7511969432235,,,,,,,,10/4/2021 2:08:33 PM,,,,,b4a80d89-3ccd-4761-a385-6722676d17de,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,7,S50,7.63516934419227,51.9607597914643
29,0,186.896896362305,188.66,2,AppStudio-CoreLocation,4.75790676176222,3.34467640873765,51.96088771031,7.6352193950427,61.0652242712677,,,,,,,,10/4/2021 2:08:29 PM,,,,,6574ccd2-28ad-4355-b30b-f3bc85f4052d,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,6,S50,7.6352193950427,51.96088771031
30,0,186.896896362305,187.99,2,AppStudio-CoreLocation,4.75188982595706,3.35321936573714,51.960950739327,7.63512732254544,59.7065717885271,,,,,,,,10/4/2021 2:08:14 PM,,,,,61eca69b-81e5-40a6-b7c8-6fc33f9efa59,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,3,S50,7.63512732254544,51.9609507393269
31,16.5273894710534,103.555064094644,110.79,2,AppStudio-CoreLocation,4.74859614936586,3.35788201743548,51.9619318040591,7.63519361125979,60.3032296290621,,,,,,,,10/4/2021 2:07:54 PM,,,,,aaa34403-90be-4ec8-9300-f21959677a59,10/4/2021 2:08:56 PM,s.schuette_ct,10/4/2021 2:08:56 PM,s.schuette_ct,,4,S50,7.63519361125979,51.9619318040591
32,11.4480201069072,188.336585365574,185.13,2,AppStudio-CoreLocation,4.74167416921575,3.36764949271461,51.9598984119903,7.63492184585738,59.9325998807326,,,,,,,,10/4/2021 2:09:05 PM,,,,,05d86b64-983d-47a0-ac79-384ab0b68cab,10/4/2021 2:09:30 PM,s.schuette_ct,10/4/2021 2:09:30 PM,s.schuette_ct,,4,S50,7.63492184585738,51.9598984119903
33,11.6327390871772,186.147691889682,187.66,2,AppStudio-CoreLocation,4.74428632039982,3.36396854070545,51.9599814671788,7.63494520043403,59.528167610988,,,,,,,,10/4/2021 2:08:55 PM,,,,,a4245a71-c8f3-487e-838d-a6554179ecb3,10/4/2021 2:09:30 PM,s.schuette_ct,10/4/2021 2:09:30 PM,s.schuette_ct,,6,S50,7.63494520043403,51.9599814671788
34,5.07105882466775,189.52734375,185.74,2,AppStudio-CoreLocation,4.80524929285213,3.27629612006194,51.9583910051388,7.63463796662518,60.3009472545236,,,,,,,,10/4/2021 2:09:32 PM,,,,,99969a0e-aa25-40a0-b5ed-ddc064f08d04,10/4/2021 2:10:04 PM,s.schuette_ct,10/4/2021 2:10:04 PM,s.schuette_ct,,6,S50,7.63463796662518,51.9583910051388
35,0,191.462585449219,144.45,2,AppStudio-CoreLocation,35.0149402257426,3.34796236545743,51.9571293232255,7.63467499011177,63.7233903128654,,,,,,,,10/4/2021 2:10:24 PM,,,,,d80f2cdd-a4b4-401b-93f2-6f17e93cb46e,10/4/2021 2:10:38 PM,s.schuette_ct,10/4/2021 2:10:38 PM,s.schuette_ct,,3,S50,7.63467499011177,51.9571293232255
36,7.60876498649864,194.187447403999,168.74,2,AppStudio-CoreLocation,23.0107439387755,3.30468554413252,51.9582607483807,7.63487580156376,61.0553713617846,,,,,,,,10/4/2021 2:09:54 PM,,,,,1da026c9-2ce4-4c30-962b-80074a5b17d3,10/4/2021 2:10:38 PM,s.schuette_ct,10/4/2021 2:10:38 PM,s.schuette_ct,,4,S50,7.63487580156376,51.9582607483807
37,,,,1,,,,,,,,,,,,,,,,,,,59d56c8b-00b4-4080-8028-4f79ceaedf88,10/4/2021 2:18:50 PM,s.schuette_ct,10/4/2021 2:18:50 PM,s.schuette_ct,,4,http://www.stadtwerke-muenster.de/fis/,7.63419231209196,51.9572788235179
40,,,219.87,2,AppStudio-CoreLocation,40,15.7589845657349,51.9245433372219,7.65814810798462,56.6541137695313,,,,,,,,10/20/2021 10:00:57 AM,,,,,a7c96bf7-1cfb-4420-a808-51d07e1213f5,10/20/2021 10:14:44 AM,s.schuette_ct,10/20/2021 10:14:44 AM,s.schuette_ct,,1,S50,7.65814810798462,51.9245433372219
41,0,167.6953125,291.054809570313,2,iPad Pro 9.7"",5,4,51.9242683751992,7.6581353042346,66.8011283214373,,,,,,,,10/20/2021 10:20:13 AM,,,,,2b57c627-984c-4d7c-9b88-e92218eb7180,10/20/2021 10:20:21 AM,s.schuette_ct,10/20/2021 10:20:21 AM,s.schuette_ct,,7,,7.65813530429401,51.9242683750221
42,2.95199997425079,154.3359375,166.22,2,AppStudio-CoreLocation,5,3,51.9241024135164,7.65827310272274,62.4449533830593,,,,,,,,10/20/2021 10:26:00 AM,,,,,c7039be8-666c-47e3-a924-c49390c92ce0,10/20/2021 10:26:28 AM,s.schuette_ct,10/20/2021 10:26:28 AM,s.schuette_ct,,6,S50,7.65827310272274,51.9241024135164
43,0,149.4140625,173.73,2,AppStudio-CoreLocation,5,3,51.924150316093,7.65823982656715,63.3161307892128,,,,,,,,10/20/2021 10:25:50 AM,,,,,508991b5-dd9e-44de-83a2-e12f1a1c20a7,10/20/2021 10:26:28 AM,s.schuette_ct,10/20/2021 10:26:28 AM,s.schuette_ct,,5,S50,7.65823982656715,51.924150316093
